43.522500,1.505158,2014/02/01 12:00:01,0.000000
43.522505,1.505155,2014/02/01 12:00:02,0.000600
43.522510,1.505152,2014/02/01 12:00:03,0.001200
43.522515,1.505149,2014/02/01 12:00:04,0.001800
43.522520,1.505146,2014/02/01 12:00:05,0.002400
43.522525,1.505144,2014/02/01 12:00:06,0.003000
43.522530,1.505141,2014/02/01 12:00:07,0.003600
43.522535,1.505138,2014/02/01 12:00:08,0.004200
43.522540,1.505135,2014/02/01 12:00:09,0.004800
43.522545,1.505132,2014/02/01 12:00:10,0.005400
43.522548,1.505130,2014/02/01 12:00:11,0.005802
43.522543,1.505126,2014/02/01 12:00:12,0.006402
43.522541,1.505124,2014/02/01 12:00:13,0.006702
43.522537,1.505120,2014/02/01 12:00:14,0.007302
43.522534,1.505118,2014/02/01 12:00:15,0.007602
43.522530,1.505114,2014/02/01 12:00:16,0.008202
43.522528,1.505112,2014/02/01 12:00:17,0.008502
43.522525,1.505110,2014/02/01 12:00:18,0.008802
43.522521,1.505106,2014/02/01 12:00:19,0.009402
43.522519,1.505103,2014/02/01 12:00:20,0.009702
43.522516,1.505101,2014/02/01 12:00:21,0.010064
43.522521,1.505105,2014/02/01 12:00:22,0.010664
43.522523,1.505107,2014/02/01 12:00:23,0.010964
43.522525,1.505108,2014/02/01 12:00:24,0.011264
43.522528,1.505110,2014/02/01 12:00:25,0.011564
43.522530,1.505112,2014/02/01 12:00:26,0.011864
43.522532,1.505114,2014/02/01 12:00:27,0.012164
43.522535,1.505116,2014/02/01 12:00:28,0.012464
43.522537,1.505118,2014/02/01 12:00:29,0.012764
43.522539,1.505120,2014/02/01 12:00:30,0.013064
43.522540,1.505120,2014/02/01 12:00:31,0.013145
43.522542,1.505113,2014/02/01 12:00:32,0.013745
43.522543,1.505110,2014/02/01 12:00:33,0.014045
43.522544,1.505106,2014/02/01 12:00:34,0.014345
43.522545,1.505103,2014/02/01 12:00:35,0.014645
43.522546,1.505099,2014/02/01 12:00:36,0.014945
43.522547,1.505096,2014/02/01 12:00:37,0.015245
43.522549,1.505089,2014/02/01 12:00:38,0.015845
43.522550,1.505085,2014/02/01 12:00:39,0.016145
43.522551,1.505082,2014/02/01 12:00:40,0.016445
43.522551,1.505080,2014/02/01 12:00:41,0.016598
43.522556,1.505084,2014/02/01 12:00:42,0.017198
43.522558,1.505086,2014/02/01 12:00:43,0.017498
43.522560,1.505088,2014/02/01 12:00:44,0.017798
43.522562,1.505090,2014/02/01 12:00:45,0.018098
43.522565,1.505092,2014/02/01 12:00:46,0.018398
43.522569,1.505096,2014/02/01 12:00:47,0.018998
